CLE;ID Operation;Type Operation;Montant;Solde avant;Solde apres;Code proprietaire;Telephone;Statut;ID Transaction;Num bordereau;Date operation;Date de versement;Banque appro;Login demandeur Appro;Login valideur Appro;Motif rejet;Frais connexion;Numero Trans GU;Agent;Motif regularisation;groupe de reseau
1754432309280;2427975834;FRAIS_TRANSACTION;-300;54.069;54.069;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432309280;718768443;;CM
1754431673337;2427965359;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-136;54.276;54.14;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431673337;718768443;;CM
1754431673337;2427965361;FRAIS_TRANSACTION;-300;54.14;54.139;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431673337;718768443;;CM
1754431156668;2427957161;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-26.005;54.302;54.276;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431156668;718768443;;CM
1754431156668;2427957163;FRAIS_TRANSACTION;-300;54.276;54.276;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431156668;718768443;;CM
1754431152598;2427957116;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-80.6;54.383;54.302;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431152598;718768443;;CM
1754431152598;2427957118;FRAIS_TRANSACTION;-300;54.302;54.302;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431152598;718768443;;CM
1754431148700;2427956956;IMPACT_COMPTIMPACT-COMPTE-GENERAL;200;54.583;54.383;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431148700;718768443;;CM
1754431148700;2427956958;FRAIS_TRANSACTION;-300;54.383;54.383;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431148700;718768443;;CM
1754431140343;2427956878;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-417.51;55.003;54.586;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431140343;718768443;;CM
1754431140343;2427956881;FRAIS_TRANSACTION;-300;54.586;54.586;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431140343;718768443;;CM
1754431145106;2427956890;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-2.04;54.586;54.584;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431145106;718768443;;CM
1754431145106;2427956892;FRAIS_TRANSACTION;-300;54.584;54.583;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431145106;718768443;;CM
1754431001131;2427954729;IMPACT_COMPTIMPACT-COMPTE-GENERAL;367.42;54.64;55.007;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431001131;718768443;;CM
1754431001131;2427954731;FRAIS_TRANSACTION;-3.674;55.007;55.003;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431001131;718768443;;CM
1754430666745;2427949082;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-222;54.862;54.64;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430666745;718768443;;CM
1754430666745;2427949084;FRAIS_TRANSACTION;-300;54.64;54.64;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430666745;718768443;;CM
1754430590862;2427948063;IMPACT_COMPTIMPACT-COMPTE-GENERAL;485.02;54.382;54.867;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430590862;718768443;;CM
1754430590862;2427948065;FRAIS_TRANSACTION;-4.85;54.867;54.862;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430590862;718768443;;CM
1754430476516;2427945730;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-25.16;54.407;54.382;CELCM0001;null;OK;;null;2025;null;null;;;;;1754430476516;718768443;;CM
